"id","level","name","REGIOVIZ","UNIT_SUP","ACT_1574_2016","CHOM_1574_2016","ACT_1524_2013","CHOM_1524_2013","CHOM_LONG_2014","ACT_LONG_2014","CHOM_FEM_2015","CHOM_MAL_2015","ACT_FEM_2015","ACT_MAL_2015","EMP_2564_2016","ACT_2564_2016","Y25.64_2016","ENSSUP_2564_2016","Y18.24_2014","Y18.24_LEAV_2014","REV_2014","MEN_2014","EMP_FT_2016","EMP_PT_2016","PIB_2014","POP_PIB_2014","EMP_TERT2015","EMP_ADM2015","EMP_TOTAL2015","EMP_HTEC_2015","EMP_T_HTEC_2015","VA_TERTOT_2013","VA_TOTAL_2013","BREV_2012","POP_BREV_2012","RD_EMP_2013","POP_RD_EMP_2013","RD_DEP_2013","POP_RD_DEP_2013","ARTIF_AREA_2015","LC_AREA_2015","IND_LU_2015","LU_2015","POP_AGE_T_2016","POP_LT25_2016","POP_GE65_2016","POP_1524_2016","POP_5564_2016","POP_2564_2016","MED_AGE_2016","ESP_VIE_2015","RT_CHOM_1574","RT_CHOM_1524","RT_CHOM_LONG","RT_CHOM_FEM","RT_CHOM_MAL","RT_CHOM_SEX_INEQ","RT_EMP_2564","RT_ENSSUP_2564","RT_Y1824_LEAV","RT_REV","RT_EMP_PT","RT_PIB_HAB","RT_EMP_TERT","RT_EMP_ADM","RT_EMP_HTEC","RT_VA_TERT","RT_BREV_HAB","RT_RD_EMP","RT_RD_DEP","RT_ARTIF_AREA","RT_IND_LU","RT_POP_LT25","RT_POP_GE65","RT_POP_REN_ACT","RT_POP_REN_ACT10","RT_POP_RETR","RT_MED_AGE","RT_ESP_VIE","N12_POL","N1","TypoDemoN12","TypoDemoN1","TypoPopN12","TypoPopN1","TypoEmpN12","TypoEmpN1","TypoGDPN12","TypoGDPN1","TypoEcoSpeN12","TypoEcoSpeN1","TypoUrbN12","TypoUrbN1"
"AT1",1,"OSTÃ–STERREICH",0,"Autriche","1920.5","157.481","227.7","29.3733","40.8","1854.54545454545","61.1","85.5","892.1","987.7","1541.9","2103.54706684857",2109481,"734099.388",318992,"24243.392",82172,"3.70144144144144","1256.8","511.7",143767,"3.69580976863753","1335.3","460.7","1738.4","88.2","1729.41176470588",96851,125414,"475.59","3.61731418661961",26970,"1712489.68188456","3815.886","3.64668004587156",1151,"23489.7959183673",1042,"23681.8181818182",3780370,977876,693013,437368,458835,2353786,"42.5","80.1","8.2","12.9","2.2","6.84900795874902","8.65647463804799","-1.80746667929897","73.3","34.8","7.6",22200,"40.7145130490134",38900,"76.8120110446388","26.5013805798435","5.1","77.2250306983271","13147.6","1.5749","1046.4","4.9","4.4","25.8672034747921","18.3318828580271","41.5448133347722","95.321411836499","29.4424811771334","42.5","80.1",0,1,"NA","Régions en forte croissance démographique (0.61 - 2.14 %)","NA","Régions entre 2 600 000 et 4 000 000 habitants","NA","Régions caractérisées par une hausse de l'emploi (0.24 % - 0.79%)","NA","PIB par habitant en parité supérieur à 110% de la moyenne de l'UE","NA","Profil moyen / Administration publique et activités spécialisées","NA","Part de la population urbaine comprise entre  50  et  67 %"
"AT11",2,"Burgenland",0,"Autriche","141.4","8.0598","15.3","NA","NA","NA","3.9","3.5","65.6","74.6","119.6","161.40350877193",162232,"45262.728",21113,"NA",6284,"0.288256880733945","97.9","35.5",7688,"0.287940074906367","90.9","35.9","133.2","3.5","134.615384615385",4459,6641,"17.93","0.28578259483583",666,"134004.024144869","67.346","0.286700723712218",203,"3980.39215686275",200,"3921.56862745098",290608,67673,60703,29287,42831,177289,"46.3","80.4","5.7","NA","NA","5.94512195121951","4.6916890080429","1.25343294317662","74.1","27.9","NA",21800,"36.2614913176711",26700,"68.2432432432432","26.951951951952","2.6","67.1435024845656",6274,"0.497","234.9","5.1","5.1","23.2866954798216","20.8882756152618","38.1710089176429","68.3780439401368","34.2395749313268","46.3","80.4",1,0,"Régions en croissance démographique modérée (0.24 - 0.63 %)","NA","Régions de moins de 850 000 habitants","NA","Régions caractérisées par une baisse de l'emploi (-0.79 - 0 %)","NA","PIB par habitant en parité entre 75 et 90% de la moyenne de l'UE","NA","Profil moyen / Administration publique et activités spécialisées","NA","Part de la population urbaine comprise entre  4.1  et  33 %","NA"
"AT111",3,"Mittelburgenland",0,"Autriche","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",846,"0.0376","NA","NA","NA","NA","NA",419,728,"0.83","0.0375616599538399","NA","NA","NA","NA","NA","NA","NA","NA",37662,8429,8526,3701,5791,22602,"47.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",22500,"NA","NA","NA","57.5549450549451","2209.7","NA","NA","NA","NA","22.3806489299559","22.638202963199","37.2931598973542","63.9095147642894","37.7223254579241","47.8","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AT112",3,"Nordburgenland",0,"Autriche","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4517,"0.153118644067797","NA","NA","NA","NA","NA",2681,3916,"11.48","0.150500137652565","NA","NA","NA","NA","NA","NA","NA","NA",155567,37166,30930,15800,22265,95592,"45.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",29500,"NA","NA","NA","68.4627170582227","7627.9","NA","NA","NA","NA","23.8906709006409","19.8821086734333","38.8798225792953","70.9633954637323","32.3562641225207","45.5","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AT113",3,"SÃ¼dburgenland",0,"Autriche","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2324,"0.0972384937238494","NA","NA","NA","NA","NA",1359,1997,"5.62","0.097720436090487","NA","NA","NA","NA","NA","NA","NA","NA",97379,22078,21247,9786,14775,59095,"47.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",23900,"NA","NA","NA","68.0520781171758","5751.1","NA","NA","NA","NA","22.6722393945306","21.8188726522145","37.3601827565784","66.2335025380711","35.9539724172942","47.2","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AT12",2,"NiederÃ¶sterreich",0,"Autriche","844.9","43.9348","111.3","11.6865","11.5","821.428571428572","19.3","24.6","396.4","443.4","696.6",900,903593,"272885.086",132767,"8497.088",37446,"1.62808695652174","579.7","224.7",51823,"1.62965408805031","552.95",208,"798.5","34.3","797.674418604651",29747,45004,"234.68","1.6144521952092",5848,"782236.490101659","809.844","1.61871676993804",773,19325,679,19400,1652324,423365,325366,185197,214423,998568,"44.7","80.3","5.2","10.5","1.4","4.86881937436932","5.54803788903924","-0.679218514669919","77.4","30.2","6.4",23000,"38.7614283249957",31800,"69.2485911083281","26.0488415779587","4.3","66.0985690160875","14536.2","0.7476","500.3",4,"3.5","25.6223960918077","19.6914164534316","42.3972128087421","86.3699323300206","32.5832592272134","44.7","80.3",1,0,"Régions en croissance démographique modérée (0.24 - 0.63 %)","NA","Régions entre 1 500 000 et 2 700 000 habitants","NA","Régions caractérisées par une hausse de l'emploi (0 % - 0.76%)","NA","PIB par habitant en parité entre 90 et 110% de la moyenne de l'UE","NA","Profil moyen / Administration publique et activités spécialisées","NA","Part de la population urbaine comprise entre  50  et  67 %","NA"
"AT121",3,"Mostviertel-Eisenwurzen",0,"Autriche","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7175,"0.242398648648649","NA","NA","NA","NA","NA",3424,6269,"65.37","0.240979400445316","NA","NA","NA","NA","NA","NA","NA","NA",244232,67542,43976,29617,31227,148212,"42.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",29600,"NA","NA","NA","54.6179613973521","27126.8","NA","NA","NA","NA","27.6548527629467","18.0058305217989","45.5712088090033","94.8442053351266","29.6710117939168","42.6","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AT122",3,"NiederÃ¶sterreich-SÃ¼d",0,"Autriche","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7299,"0.25520979020979","NA","NA","NA","NA","NA",3872,6262,"28.24","0.253091951962717","NA","NA","NA","NA","NA","NA","NA","NA",257919,66328,51684,29130,32955,155088,"44.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",28600,"NA","NA","NA","61.8332801022038",11158,"NA","NA","NA","NA","25.7166009483598","20.0388494062089","42.7679768905396","88.3932635411925","33.3255957907769","44.5","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AT123",3,"Sankt PÃ¶lten",0,"Autriche","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6033,"0.150074626865672","NA","NA","NA","NA","NA",3785,5295,"9.73","0.14851107346185","NA","NA","NA","NA","NA","NA","NA","NA",152429,39725,28961,17494,19546,92801,44,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",40200,"NA","NA","NA","71.4825306893296","6551.7","NA","NA","NA","NA","26.061313791995","18.9996654179979","42.806650790401","89.501688324977","31.2076378487301",44,"NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AT124",3,"Waldviertel",0,"Autriche","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5842,"0.217985074626866","NA","NA","NA","NA","NA",3359,5073,"20.13","0.21935511992067","NA","NA","NA","NA","NA","NA","NA","NA",219043,53405,47486,24511,30066,131135,"46.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",26800,"NA","NA","NA","66.2132860240489","9176.9","NA","NA","NA","NA","24.3810576005624","21.6788484452824","40.7252068479048","81.523980576066","36.2115377282953","46.2","NA",0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
